collector,original name of spot,date collected,name of image,ID_plot,Colony,note
Maud + Elena,Nh_10,17.08.2020,Nh_10_,Nh_10,,"several colonies, already numbered in data"
Maud + Elena,Nl_55,12.08.2020,Nl_55_,Nl_55,,"several colonies, already numbered in data"
Maud + Elena,Oh_01,14.08.2020,Oh_01_,Oh_01,,"several colonies, already numbered in data"
Maud + Elena,Oh_02,14.08.2020,Oh_02_,Oh_02,,"several colonies, already numbered in data"
Maud + Elena,Ol_55,12.08.2020,Ol_55_,Ol_55,,"several colonies, already numbered in data"
Maud + Elena,Om_02,14.08.2020,Om_02_,Om_02,,"several colonies, already numbered in data"
Maud + Elena,Om_06,19.08.2020,Om_06_,Om_06,,"several colonies, already numbered in data"
Maud + Elena,Südkreuz,13.08.2020,Sk_,Sk_01,,"several colonies, already numbered in data"
Judith,Müggelsee R3,07.08.2019,MS_R3_,Ol_11,R3,
Judith,Müggelsee R3B,30.08.2019,MS_R3B_,Ol_11,R3B,
Judith,NB6_7 U1,04.09.2019,NB6_7_,Nl_14,U1_6_7,transplanted in common garden
Judith,NB10_1 R3,04.09.2019,NB10_1_,Nl_14,NB_10_1,transplanted in common garden
Judith,Nordbahnhof U1 6.8.19,06.08.2019,NordBH_U1_1,Nl_14,U1_1,
Judith,Nordbahnhof U1 30.8.19,30.08.2019,NordBH_U1_2_,Nl_14,U1_2,
Judith,Schöneweide U2 7.8.19,07.08.2019,Schöneweide_U2_2,Nh_10,U2_1,changed colony number to match chronology
Judith,Schöneweide U2 30.8.19,30.08.2019,Schöneweide_U2_,Nh_10,U2_2,changed colony number to match chronology
Judith,Spandau R2,06.08.2019,Spandau_R2_,Om_06,R2,
Judith,Spandau R2B,29.08.2019,Spandau R2B_,Om_06,R2B,space instead of underscore
Judith,Südgelände U3 7.8.19,07.08.2019,SG_U3_1_,Nl_55,U3_1,
Judith,Südgelände U3 29.8.19,29.08.2019,SG_U3_2_,Nl_55,U3_2,
Judith,Wannsee R1 7.8.19,07.08.2019,Wannsee_R1_2_,Ol_55,R1_1,changed colony number to match chronology
Judith,Wannsee R1 29.8.19,29.08.2019,Wannsee_R1_,Ol_55,R2_2,changed colony number to match chronology
Judith,WS 9_3 R1,20.08.2019,WS9_3_,Ol_55,R1_9_3,transplanted in common garden